Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorOUT,ErrorERR
57,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/137/quic_server_test_retry0.iev,23.0,0.0,,
60,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/343/quic_server_test_version_negociation0.iev,24.0,0.0,,
61,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/177/quic_server_test_retry0.iev,22.0,0.0,,
63,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/146/quic_server_test_retry0.iev,43.0,1.0,,
64,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/113/quic_server_test_retry0.iev,31.0,1.0,,
65,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/150/quic_server_test_retry0.iev,28.0,1.0,,
68,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/368/quic_server_test_version_negociation0.iev,21.0,0.0,,
69,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/157/quic_server_test_retry0.iev,37.0,1.0,,
70,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/341/quic_server_test_version_negociation0.iev,24.0,0.0,,
71,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/114/quic_server_test_retry0.iev,17.0,0.0,,
72,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/396/quic_server_test_version_negociation0.iev,27.0,0.0,,
74,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/189/quic_server_test_retry0.iev,24.0,0.0,,
75,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/331/quic_server_test_version_negociation0.iev,33.0,0.0,,
76,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/183/quic_server_test_retry0.iev,21.0,0.0,,
78,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/193/quic_server_test_retry0.iev,24.0,1.0,,
80,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/117/quic_server_test_retry0.iev,16.0,0.0,,
81,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/110/quic_server_test_retry0.iev,17.0,0.0,,
83,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/382/quic_server_test_version_negociation0.iev,29.0,0.0,,
84,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/156/quic_server_test_retry0.iev,14.0,0.0,,
85,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/357/quic_server_test_version_negociation0.iev,28.0,0.0,,
87,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/155/quic_server_test_retry0.iev,17.0,0.0,,
88,aioquic,server,quic_server_test_retry,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/166/quic_server_test_retry0.iev,29.0,0.0,,
89,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/141/quic_server_test_retry0.iev,15.0,0.0,,
96,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/326/quic_server_test_version_negociation0.iev,24.0,0.0,,
98,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/317/quic_server_test_version_negociation0.iev,34.0,0.0,,
101,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/199/quic_server_test_retry0.iev,16.0,0.0,,
104,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/143/quic_server_test_retry0.iev,30.0,1.0,,
106,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/152/quic_server_test_retry0.iev,25.0,0.0,,
107,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/190/quic_server_test_retry0.iev,21.0,0.0,,
108,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/130/quic_server_test_retry0.iev,30.0,1.0,,
111,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/115/quic_server_test_retry0.iev,23.0,1.0,,
114,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/393/quic_server_test_version_negociation0.iev,29.0,0.0,,
117,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/336/quic_server_test_version_negociation0.iev,17.0,0.0,,
120,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/324/quic_server_test_version_negociation0.iev,22.0,0.0,,
121,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/365/quic_server_test_version_negociation0.iev,21.0,0.0,,
122,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/340/quic_server_test_version_negociation0.iev,20.0,0.0,,
124,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/153/quic_server_test_retry0.iev,14.0,0.0,,
125,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/144/quic_server_test_retry0.iev,28.0,0.0,,
127,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/353/quic_server_test_version_negociation0.iev,19.0,0.0,,
128,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/329/quic_server_test_version_negociation0.iev,24.0,0.0,,
130,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/398/quic_server_test_version_negociation0.iev,19.0,0.0,,
133,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/171/quic_server_test_retry0.iev,18.0,0.0,,
134,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/337/quic_server_test_version_negociation0.iev,43.0,0.0,,
136,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/333/quic_server_test_version_negociation0.iev,24.0,0.0,,
137,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/392/quic_server_test_version_negociation0.iev,38.0,0.0,,
141,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/388/quic_server_test_version_negociation0.iev,24.0,0.0,,
144,aioquic,server,quic_server_test_retry,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/174/quic_server_test_retry0.iev,34.0,0.0,,
146,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/126/quic_server_test_retry0.iev,25.0,1.0,,
147,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/369/quic_server_test_version_negociation0.iev,24.0,0.0,,
148,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/363/quic_server_test_version_negociation0.iev,30.0,0.0,,
151,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/101/quic_server_test_retry0.iev,32.0,0.0,,
152,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/300/quic_server_test_version_negociation0.iev,32.0,0.0,,
153,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/310/quic_server_test_version_negociation0.iev,18.0,0.0,,
154,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/154/quic_server_test_retry0.iev,17.0,0.0,,
156,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/338/quic_server_test_version_negociation0.iev,21.0,0.0,,
159,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/314/quic_server_test_version_negociation0.iev,23.0,0.0,,
160,aioquic,server,quic_server_test_retry,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/108/quic_server_test_retry0.iev,23.0,0.0,,
161,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/162/quic_server_test_retry0.iev,19.0,1.0,,
162,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/176/quic_server_test_retry0.iev,23.0,1.0,,
163,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/182/quic_server_test_retry0.iev,18.0,0.0,,
167,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/334/quic_server_test_version_negociation0.iev,24.0,0.0,,
168,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/383/quic_server_test_version_negociation0.iev,28.0,0.0,,
