Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorsCode
1278,quant,client,quic_client_test_version_negociation,,require connected(dcid) -> connected_to(dcid) = scid+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1460/quic_client_test_version_negociation0.iev,21.0,0.0,14
1279,picoquic,client,quic_client_test_retry,,require connected(dcid) & connected_to(dcid) = scid+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/187/quic_client_test_retry0.iev,16.0,0.0,17
1280,quant,client,quic_client_test_retry,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/687/quic_client_test_retry0.iev,40.0,0.0,3
1281,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/998/quic_client_test_version_negociation0.iev,3.0,0.0,5
1282,quiche,client,quic_client_test_retry,,server_return_code(254)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/450/quic_client_test_retry0.iev,44.0,0.0,12
1283,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1491/quic_client_test_version_negociation0.iev,33.0,0.0,1
1284,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1518/quic_client_test_version_negociation0.iev,1.0,0.0,9
1285,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/557/quic_client_test_retry0.iev,0.0,0.0,11
1286,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/985/quic_client_test_version_negociation0.iev,3.0,0.0,5
1287,quant,client,quic_client_test_version_negociation,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1308/quic_client_test_version_negociation0.iev,0.0,0.0,3
1288,quiche,client,quic_client_test_version_negociation,,require connected(dcid) |+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1249/quic_client_test_version_negociation0.iev,3.0,0.0,6
